,source,content,category,sentiment,date_parsed
10,blick,"Ironman: Ryf läuft mit Streckenrekord zu Sieg in St. George. In St. George feiert Daniela Ryf ihren zweiten Saisonsieg in einem 70.3-Ironman. Ein gutes Omen für die Mitteldistanz-WM, die im September auf der gleichen Strecke durchgeführt wird.",world,1,2021-05-01
11,neue schweizer zeitung,"SpaceX, NASA, verschiebt die Rückkehr von Astronauten zur Erde auf Sonntag. Der Veteran der Luftwaffe, Chris Semprosky, spricht über die neuen Experimente, die mit dem gesamten zivilen Weltraumstart von SpaceX vom Missionstraining",world,1,2021-05-01
12,srf,32. Runde der Super League - Luzern verschafft sich weiter Luft im Abstiegskampf. Der FC Luzern gewinnt bei Vaduz 2:1 und baut den Vorsprung auf den Barrageplatz auf 9 Punkte aus.,world,1,2021-05-01
13,20 minuten,Final gegen Genf : Zug ringt die Lakers nieder und steht im Playoff-Final. Der EV Zug setzt sich gegen die Rapperswil-Jona Lakers in der Best-of-Five-Serie mit 3:1 durch. Das Spiel am Samstag endet mit 6:3.,world,1,2021-05-01
14,srf,Rückruf Banknoten-Serie 8 - Kurze Ablauffrist der alten Banknoten sorgt für Ärger. Die Banknoten der Serie 8 gelten seit Freitag nicht mehr als Zahlungsmittel. Man muss sie nun bei der Bank eintauschen.,world,0,2021-05-01
15,20 minuten,"Unglück in Trun GR. Nachdem er ein anderes Fahrzeug überholt hatte, stürzte ein junger Töfffahrer auf der nassen Strasse. Dabei stiess er heftig gegen eine Leitplanke. Er verstarb noch auf der Unfallstelle.",world,0,2021-05-01
16,blick,"Super League: FC Basel gewinnt gegen St. Gallen knapp 1:0. Der FC Basel spielt gegen St. Gallen nicht unbedingt überzeugend, trotzdem reicht es für einen Bebbi-Sieg gegen unglücklich kämpfende Espen.",world,1,2021-05-01
17,blick,Super League: Luzern feiert in Vaduz den dritten Sieg in Serie. Mit einem Doppelschlag in der Startviertelstunde stellt Luzern die Weichen früh auf Sieg. Vaduz wehrt sich bis zur letzten Sekunde gegen die Niederlage. Aber ohne Erfolg.,world,1,2021-05-01
18,blick,Unglück in Trun: Töfffahrer (†18) stirbt nach Kollision mit Leitplanke. Am Samstagvormittag ist ein Motorradfahrer bei Trun GR mit einer Leitplanke kollidiert. Dabei verstarb der Teenager noch auf der Unfallstelle.,world,0,2021-05-01
19,srf,Qualifying in Portimao - Bottas entscheidet Duell gegen Hamilton knapp für sich. Valtteri Bottas holt sich im Qualifying zum GP von Portugal die Pole Position vor Teamkollege Lewis Hamilton.,world,1,2021-05-01
20,neue zürcher zeitung,"1. Mai: Linksautonome demonstrieren in Zürich ohne Bewilligung - Neue Zürcher Zeitung. Am 1. Mai haben die Gewerkschaften und Linksautonome in Zürich und anderen Städten demonstriert. Während die bewilligten Kundgebungen ohne Probleme verliefen, kam es am Nachmittag im Kreis 4 zu einem Grosseinsatz der Polizei.",world,0,2021-05-01
21,speedweek.com,Marc Márquez (14.): Es war ein Crash mit viel Speed - SPEEDWEEK.COM. Der spanische Honda-Superstar Marc Márquez erlebte am Samstag in Jerez einen hektischen Tag mit einem bösen Abflug in Kurve 7 am Vormittag und einem hektischen Q1 am Nachmittag.,world,0,2021-05-01
22,watson,"Das Volla Phone beweist: Ein Smartphone ganz ohne Google oder Apple geht - watson. Keine Cloud, keine Tracker, kein Konto-Zwang: Das Volla Phone gibt dem User die Kontrolle über seine Daten zurück.",world,0,2021-05-01
23,tages-anzeiger,"Australien droht Rückreisenden - «Das ist wirklich widerlich» - Tages-Anzeiger. Tausenden Australiern, die aus Indien in ihre Heimat zurückfliegen wollen, drohen hohe Strafen. Kritiker werfen der Regierung Versagen, Rassismus und Menschenrechtsverletzungen vor.",world,0,2021-05-01
24,blick,"Britney Spears soll laut ihrem Vater Jamie an Demenz leiden - BLICK. Der Gerichtsstreit um die Vormundschaft von Britney Spears geht in die nächste Runde. Laut ihrem Vater Jamie kann die Pop-Sängerin nicht auf eigenen Beinen stehen, da sie an Demenz leide.",world,0,2021-05-01
25,srf,"Parlamentswahlen in Schottland – Ein (halbes) Land träumt sich unabhängig - Schweizer Radio und Fernsehen (SRF). Wenn die Schottinnen und Schotten wählen, geht es auch um die Unabhängigkeit der Nation.",world,1,2021-05-01
26,landbote.ch,«Ingenuity» wird zum Wingman - Mars-Helikopter bekommt neuen Erkundungsauftrag - Der Landbote. Die Mission der Drohne auf dem Roten Planeten wird verlängert. Nun soll er den Mars-Rover bei der Suche nach mikrobiellen Leben unterstützen.,world,1,2021-05-01
27,blick,"Amira Pocher wurde von Ex-Freund angegriffen - BLICK. Amira Pocher spricht das erste Mal über Gewalt, die sind in einer Beziehung erleben musste. Unterstützung bekommt sie dabei von ihrer Psychotherapeutin.",world,1,2021-05-01
28,blick,18-Jähriger fährt in Brittnau in Dorfbrunnen und schrottet Range Rover - BLICK. In Brittnau AG ist ein 18-Jähriger mit dem Auto seines Vaters in den Dorfbrunnen geknallt.,world,0,2021-05-01
29,blick,Fussball: Kevin Kuranyi rechnet nach Urteil mit Christoph Metzelder ab - BLICK. Das Urteil im Kinderporno-Prozess gegen Christoph Metzelder löst in Deutschland heftige Reaktionen aus. Nun lässt auch Ex-Profifussballer Kevin Kuranyi seine Wut raus.,world,0,2021-05-01
30,merkur.de,"Anti-Corona-Pille von Pfizer soll im Herbst 2021 auf den Markt kommen - Merkur Online. Das US-Pharmaunternehmen Pfizer hat eine Pille entwickelt, die schwere Corona-Verläufe verhindern soll. Die Anti-Corona-Pille soll schon im Herbst auf den Markt kommen.",world,1,2021-05-01
31,tagblatt.ch,"Tödlicher Unfall - Stromstoss in der Badewanne wegen Handy: Junge Frau stirbt in Gossau | St.Galler Tagblatt - St.Galler Tagblatt. Eine 22-Jährige ist am Donnerstag an der Neuchlenstrasse in Gossau mit ihrem Handy in die Badewanne gestiegen. Das ans Stromnetz angeschlossene Gerät fiel ins Wasser, die junge Frau verlor ihr Leben.",world,0,2021-05-01
32,srf,"Das Neueste zur Coronakrise - Gesundheitsdirektoren-Konferenz will nur vorsichtig lockern. In der Schweiz sollen keine Öffnungen vollzogen werden, wenn die meisten Richtwerte nicht erfüllt sind, so die GDK.",nation,0,2021-05-01
33,blick,Schweiz: Polizei löst Geburtstagsfeier auf. Die Freiburger Kantonspolizei hat in der Nacht auf Samstag in Villars-sur-Glâne FR eine Geburtstagsfeier mit über hundert Menschen aufgelöst. Die Party verstiess gegen die wegen der Corona-Pandemie geltenden Bestimmungen.,nation,0,2021-05-01
34,telebasel,"Autolenker stürzt 60 Meter eine Böschung hinunter. Ein Fahrzeuglenker überschlug sich mit seinem Auto in Himmelried mehrfach, als dieses die Böschung hinunter stürzte. Er wurde leicht verletzt.",nation,0,2021-05-01
35,20 minuten,"Unsicherheit um Corona-Impfung – Junge fürchten um ihre Termine. Im Kanton Basel-Stadt wird so schnell gegen Corona geimpft, dass schon die nächste Prioritätengruppe dran kommt. Der Fortschritt bringt aber auch Probleme mit sich. Schuld daran ist wahrscheinlich Unklarheit über Kontakt zu Risikogruppen.",nation,0,2021-05-01
36,20 minuten,"Weiterer Rücktritt : Strafverfahren gegen Informationschef der Bundesanwaltschaft. Nun ist auch André Marty, Ex-SRF-Korrespondent und Aushängeschild der Bundesanwaltschaft, zurückgetreten. Gegen ihn läuft ein Strafverfahren.",nation,0,2021-05-01
37,20 minuten,"Rolle der Kinder in der Pandemie. Die Taskforce kommt zum Schluss, dass Kinder das Coronavirus übertragen können. Das BAG hingegen stuft dies weiterhin als «selten» ein.",nation,0,2021-04-30
38,20 minuten,Dällikon ZH : Scheune auf Bauernhof steht in Vollbrand. Auf einem Bauernhof in Dällikon im Kanton Zürich brach am Freitagabend ein Brand aus.,nation,0,2021-04-30
39,20 minuten,Spreitenbach AG : Mann (33) setzt Falschmeldung ab und löst Polizei-Grosseinsatz aus. Am Freitag rückte die Aargauer Polizei zum Grosseinsatz. Ein psychisch beeinträchtigter Mann hatte sich in seiner Wohnung verschanzt.,nation,0,2021-04-30
40,blick,"Moderna liefert eine halbe Million Corona-Impfdosen. Während Pfizer/Biontech zuverlässig die Schweiz mit Corona-Impfstoff versorgt, war Moderna immer eher ein Sorgenkind. Die Impfdosen kamen in kleinerer Menge oder verspätet an. Jetzt aber liefert Moderna!",nation,1,2021-04-30
41,20 minuten,"DNS-Spuren : Wolf aus Italien reisst Geiss in Appenzell. Diesen Frühling wurde im Kanton Appenzell Innerrhoden eine Geiss durch einen Wolf getötet. Die Genanalyse ergab, dass der Wolf aus Italien stammt.",nation,0,2021-04-30
42,blick,"Porsche Taycan Cross Turismo schon gefahren: Der 5-in-1-Porsche - BLICK. Autos, die nur für einen spezifischen Zweck gebaut sind, sind absolut out. Das Zauberwort heisst heute Crossover. Und genau das ist der neue Taycan als abenteuerlustiger Cross Turismo. Wir zeigen, was der 5-in-1-Porsche alles draufhat.",business,1,2021-05-01
43,telebasel,Schweizer Schuhfirma On will im Herbst an die US-Börse - Telebasel. Der Schweizer Schuhhersteller On will im Herbst an die US-Börse gehen. Das Unternehmen könnte mit rund fünf Milliarden Dollar bewertet werden.,business,1,2021-04-30
44,watson,Samsung holt sich den Handy-Thron von Apple zurück – Huawei stürzt ab - watson. Die chinesischen Smartphone-Marken sind auf dem Vormarsch – ausser Huawei.,business,0,2021-04-30
45,neue zürcher zeitung,Credit Suisse: Risikoüberwacher Gottschling zieht sich zurück - Neue Zürcher Zeitung. Urs Rohner und Thomas Gottstein haben in ihren Voten an der diesjährigen Generalversammlung keine neuen Informationen zu den Debakeln um Archegos und Greensill geliefert. Der neue Präsident hat schwierige Zeiten und harte Entscheidungen in Aussicht gestellt.,business,0,2021-04-30
46,aerotelegraph,«Wir stehen zu unseren Boeing-777X-Orders» - aeroTELEGRAPH. Boeing stuft viele 777X-Orders als unsicher ein. Lufthansa bekennt sich dagegen zu ihrer Bestellung - gerade aufgrund der Verspätung.,business,0,2021-04-30
47,auto motor und sport,Hyundai Ioniq 5 N: Gibt es noch einen Top-Stromer? - auto motor und sport. Der Ioniq 5 von Hyundai ist in der aktuellen Top-Version 305 PS stark – zum konzerninternen Konkurrenten Kia EV 6 GT fehlen 280 PS. Der Leistungsunterschied könnte in Zukunft kleiner ausfallen.,business,1,2021-04-30
48,srf,"GV der Credit Suisse - Abtretender VR-Präsident Rohner: ""Ich entschuldige mich"". Die Generalversammlung der Credit Suisse fand im Schatten der Debakel der jüngsten Zeit statt. Die wichtigsten Punkte.",business,0,2021-04-30
49,blick,"Coronavirus: Migros Aare sorgt für Impfung ihrer Mitarbeiter und Familien. Den Anfang macht die Migros Genossenschaft Aare. Sie plant eine betriebliche Impfaktion für die Mitarbeitenden und deren Familien. Diese Ankündigung kommt einer Kehrtwende gleich, hat Migros-Chef Zumbrunnen im Blick-Interview doch gesagt, dass Impfen Privatsache sei.",business,0,2021-04-30
50,auto motor und sport,Hyundai Ioniq 5 N: Gibt es noch einen Top-Stromer?. Der Ioniq 5 von Hyundai ist in der aktuellen Top-Version 305 PS stark – zum konzerninternen Konkurrenten Kia EV 6 GT fehlen 280 PS.,business,1,2021-04-30
51,inside paradeplatz,"Rohners Scherbenhaufen: Flucht nach London?. CS-Präsident hinterlässt gigantisches Fiasko, mit Not-Geldinfusion und Risk-Chef im VR, der am Tag der Wahl aufgibt.",business,0,2021-04-30
52,20 minuten,"Achte Serie ab Freitag ungültig. Die Schweizerische Nationalbank hat die achte Serie der Schweizer Banknoten per 30. April für ungültig erklärt. Einen Tag vor Ablauf wurden Banken von Kunden überrannt, die ihre alten Nötli loswerden wollten.",business,0,2021-04-29
53,auto motor und sport,"Energiedichte: Warum E-Motorsport noch lahm ist. Extreme E-Autos bieten vierstellige PS-Zahlen, brutale Fahrleistungen und verblasen im Sprint jeden Verbrenner. E-Motorsport ist trotzdem lahm. Warum?",business,0,2021-04-29
54,btc-echo,"Facebook steigt doch nicht in Bitcoin ein - Ethereum und Uniswap im ATH. Facebook ist nun doch nicht in Bitcoin eingestiegen. Währenddessen outperformed Ethereum die Kryptoleitwährung, sagt JPMorgan.",business,0,2021-04-29
55,20 minuten,Drei neue Produktionsstätten : Lonza und Moderna wollen Impfstoffproduktion verdoppeln. Mit drei neuen Produktionsstätten in Visp wollen Lonza und Moderna ihre Impfstoffproduktion ankurbeln. Die doppelte Menge an Vakzinen soll dort künftig hergestellt werden.,business,1,2021-04-29
56,aerotelegraph,Swiss-Chef bereitet Personal auf tiefere Einschnitte vor. Die Schweizer Lufthansa-Tochter rechnet mit einem Rückgang des Geschäftsreiseverkehrs. Deshalb prüft Swiss nun eine «signifikante» Verkleinerung.,business,0,2021-04-29
57,inside digital,O2 bringt 300-MBit/s-LTE-Flatrate - ab 5 Euro. LTE und 5G als Flatrate mit bis zu 300 Mbit/s - und das ab 5 Euro: O2 bringt einen neuen Datentarif für die Nutzung des mobilen Internet.,technology,1,2021-05-01
58,chinahandys.net,"günstiges Tablet mit Unisoc-Prozessor kommt. Mit dem Blackview Tab 9 hat der chinesische Hersteller ein neues Tablet für unter 200€ vorgestellt. Was das Tab 9 bietet, erfahrt Ihr hier.",technology,1,2021-05-01
59,blick,"Joël Cachelin über die Pandemie und wie wir sie künftig verhindern. Wieso beschäftigen wir uns so wenig damit, wie wir in diese Pandemie gerieten – und wie wir sie künftig verhindern? Zu dieser Frage hat Jöel Cachelin, Betriebswirt, Historiker und Statistiker, ein Buch geschrieben. Seine Antworten machen unruhig.",technology,0,2021-05-01
60,chip online,"Die besten kostenlosen OCR-Programme. Egal ob Screenshots, abfotografierte Buchseiten oder gescannte Dokumente: Sie alle zeigen zwar Text, sind aber als Bilddatei gespeichert. Dank sogenannter OCR-Erkennung können Sie sich das Abtippen aber sparen und die Inhalte stattdessen direkt kopieren. Wir stellen Ihnen die beste kostenlose OCR-Software vor.",technology,1,2021-05-01
61,btc-echo,Warum Ethereum dank EIP-1559 wertvoller werden könnte als Bitcoin. EIP-1559 wird Ethereum grundlegend verändern. Was genau steckt hinter dem Upgrade und warum könnte es ETH wertvoller machen als Bitcoin?,technology,0,2021-05-01
62,blick,"Elon Musk über Mars-Mission: ""Viele Leute werden da oben sterben"". Der Tesla-Chef und SpaceX-Gründer Elon Musk will nicht nur den Mars entdecken, er will den roten Planeten besiedeln. Dass bei einer solchen Mission wohl auch Menschen sterben würden, ist dem Unternehmer bewusst.",technology,1,2021-05-01
63,chip online,Overdrop: Die beste kostenlose Wetter-App fürs Handy?. Wetter-Apps gehören zur Grundausstattung auf dem Smartphone – aber kaum eine App ist so schick gestaltet wie die kostenlose Android-App Overdrop. Doch das Design ist nicht der einzige Vorteil: Neben hyperlokalen Wettervorhersagen aus drei verschiedenen Datenquellen bringt die App ein komplettes Widget-Paket mit.,technology,1,2021-05-01
64, cash,Autobauer - Volkswagen will Computerchips selbst entwickeln. Volkswagen will neben der Software für selbstfahrende Autos auch die dafür nötigen Hochleistungschips selbst entwickeln.,technology,1,2021-04-30
65,btc-echo,"In England und Skandinavien rollen Taxis auf Ethereum. Krypto-Adoption auf vier Rädern: In England und Skandinavien läuft ein Pilotprojekt an, dass tausende Taxis an Ethereum anbindet.",technology,0,2021-04-30
66,blick,"Kader Loth gönnt sich nach Corona-Kampf ein neues Gesicht - BLICK. Wegen ihrer Corona-Infektion hat Kader Loth harte Wochen durchgemacht. Nun geht es der Trash-TV-Ikone wieder besser. Ein Umstand, den sie sogleich mit einem Schönheitseingriff feiert.",entertainment,1,2021-05-01
67,blick,Fiona Erdmann: Ex-«GNTM»-Kandidatin hat ihr Baby verloren - BLICK. Die ehemalige «Germany's Next Topmodel»-Kandidatin macht bei Instagram öffentlich: Sie hat ihr Baby in der 18ten Schwangerschaftswoche verloren.,entertainment,0,2021-05-01
68,neue zürcher zeitung,"Marilyn Manson: Neue schwere Missbrauchsvorwürfe gegen US-Star - Neue Zürcher Zeitung. Die britische Schauspielerin Esmé Bianco hat eine Zivilklage eingereicht: Sie wirft dem 14 Jahre älteren Sänger Körperverletzung, Vergewaltigung und emotionalen Missbrauch in den Jahren 2009 bis 2011 vor. Vor ihr haben bereits mehrere Frauen ähnliche Vorwürfe…",entertainment,0,2021-04-30
69,blick,Jasmin Herren hat Streit mit Familie von Willi - BLICK. Selbst die Beerdigung bringt Willi Herrens Familie nicht wieder zueinander: Jasmin soll noch immer Streit mit den Angehörigen ihres Ehemanns habe.,entertainment,0,2021-04-30
70,blick,Günther Jauch ist nach Corona-Erkrankung wieder fit; er hat es unterschätzt - BLICK. Günther Jauch meldet sich zurück. Der deutsche TV-Moderator hat seine Corona-Infektion überstanden.,entertainment,0,2021-04-30
71,20 minuten,"Will Smiths Tochter Willow - «Ich will gleichzeitig mit einem Mann und einer Frau zusammensein» - 20 Minuten. Willow Smith spricht erstmals offen darüber, dass Monogamie nichts für sie sei. Grund dafür ist unter anderem ihre Bisexualität.",entertainment,1,2021-04-30
72,www.rtl.de,"GZSZ-Wochenvorschau ab 03. Mai 2021: Stößt Lilly auf ein dunkles Familiengeheimnis? - RTL Online. Ein dunkles Geheimnis, ein falscher Kuchen und eine Presse-Dame sorgen bei GZSZ für Spannung.",entertainment,0,2021-04-30
73,schweizer-illustrierte.ch,Harry und Meghan gratulieren William und Kate «privat» - Schweizer Illustrierte. Prinz Harry und Herzogin Meghan haben Prinz William und Herzogin Kate zum zehnten Hochzeitstag gratuliert – anders als andere Familienmitglieder allerdings «ganz privat».,entertainment,1,2021-04-30
74,bluewin.ch,"Bei Luca Hänni verdrehe ich seit zehn Jahren die Augen - bluewin.ch. Kreischende Teenies fallen reihenweise in Ohnmacht, wenn Luca Hänni mit dem Colgate-Lächeln auf die Bühne schreitet. Und das seit 2012. Ich kann ihn nicht mehr sehen – und doch muss ich ihn respektieren.",entertainment,1,2021-04-30
75,nau.ch,Daniel Bumann verabschiedet sich mit Schimpf-Video - Nau.ch. Schock für Fans: Nach 101 Folgen hängt Daniel Bumann seinen TV-Job an den Nagel. Der Ex-Spitzenkoch verabschiedet sich mit einem Schimpf-Video.,entertainment,0,2021-04-29
76,blick,"Anne Douglas, die Stiefmutter von Michael Douglas ist mit 102 gestorben. Im Alter von 102 Jahren ist Anne Douglas gestorben. Sie war mit Kirk Douglas verheiratet und Stiefmutter von Michael Douglas.",entertainment,1,2021-04-30
77,gmx.ch,Schon wieder Hüllenlos-Shooting bei GNTM? Heidi setzt ihre Mädels Extremsituation aus. GNTM (ProSieben) im Couchticker: In Folge 13 wollte Heidi ihre Models in Extremsituationen erleben: Es wurde hüllenlos - und Bill Kaulitz war Gastjuror.,entertainment,0,2021-04-30
78,20 minuten,Elliot Page im Oprah-Interview. «Juno»-Schauspieler Elliot Page spricht ausführlich über seine Erfahrungen als nonbinärer trans Mann vor und nach seinem Coming-out.,entertainment,1,2021-04-30
79,blick,Tamara Berger: Megawatt half ihr durch die Krebserkrankung. Mit ihrem neuen Lied «Loieherz» geben Megawatt ihren Hörern Motivation für eine schwierige Aufgabe. Es gab auch Tamara Berger Kraft in der Behandlung gegen ihren Krebs.,entertainment,1,2021-04-29
80,blick,"Thomas Gottschalk und Karina Mross schwärmen voneinander. Thomas Gottschalk und Karina Mross haben ineinander ihren Traumpartner gefunden. Wie die beiden in einem seltenen Paar-Interview verraten, seien sie auch nach zwei Jahren noch verliebt wie am ersten Tag.",entertainment,1,2021-04-29
81,telebasel,"Zehn Jahre royale Traumhochzeit: ""Zu Hause einfach William und Kate"". Sie sind die Hoffnungsträger des britischen Königshauses. Prinz William (38) und seine Frau Herzogin Kate (39) feiern am Donnerstag ihren zehnten Hochzeitstag.",entertainment,1,2021-04-29
82,blick,Aarau-Trainer Keller bringt gegen GC Ballbuben zum Weinen - BLICK. Aarau-Trainer Stephan Keller beschimpft nach dem 2:1 gegen GC einen eigenen Ballbuben – und wird danach von seinem Chef zurechtgewiesen.,sport,0,2021-05-01
83,blick,"Kriegt Alfa-Sauber die Imola-Punkte zurück? Bottas-Pole in Portugal - BLICK. Alfa-Sauber hat plötzlich Hoffnungen auf die WM-Punkte, die die FIA Kimi Räikkönen in Imola wegnahm. In Portimão fährt Valtteri Bottas auf die Pole-Position vor Lewis Hamilton und Max Verstappen.",sport,0,2021-05-01
84,srf,"4. Etappe der Tour de Romandie – Thomas stürzt mit dem Ziel vor Augen, Woods profitiert - Schweizer Radio und Fernsehen (SRF). Der Kanadier Michael Woods entscheidet die Königsetappe der Tour de Romandie für sich und übernimmt die Gesamtführung.",sport,1,2021-05-01
85,bluewin.ch,"Schockmoment in Jerez: Marquez nur kurz nach Verletzungs-Comeback mit Horror-Crash - bluewin.ch. Marc Marquez sorgt im 3. freien Training vom GP Jerez mit einem Horror-Sturz für bange Momente. Der 8-fache Weltmeister blieb glücklicherweise unverletzt, wurde für medizinische Abklärungen aber in eine Klinik gebracht.",sport,0,2021-05-01
86,blick,Jaromir Jagr steigt mit 49 Jahren und 120 Kilo in höchste Liga auf - BLICK. Nichts kann Jaromir Jagr aufhalten. Selbst mit leichtem Übergewicht ist der Superstar eine Klasse für sich. Ans Aufhören denkt der 49-Jährige nicht.,sport,1,2021-05-01
87,blick,Fünf tote Kinder bei Unfall von russischem Basketball-Team - BLICK. Tragischer Unfall um ein Mädchen-Basketballteam: Bei einem Überholmanöver rammt ein LKW den Team-Bus. Fünf Kinder kommen dabei ums Leben.,sport,0,2021-05-01
88,20 minuten,«Stop Online Abuse» - Warum der Sport dieses Wochenende Social Media boykottiert - 20 Minuten. Nach Rassismus-Vorfällen wollen zahlreiche Fussball-Clubs und Sportler mit einer Protestaktion auf Anfeindungen in den sozialen Netzwerken aufmerksam machen.,sport,0,2021-05-01
89,watson,Das sind die 30 prägendsten Schweizer Sportlerinnen der letzten 50 Jahre - watson. Das Buch «Frauenpower» würdigt die 30 prägendsten Schweizer Sportlerinnen der vergangenen 50 Jahre.,sport,1,2021-05-01
90,20 minuten,Barcelona will Superstar Lionel Messi mit Zehnjahresvertrag halten - 20 Minuten. In neun Wochen endet der Vertrag von Lionel Messi beim FC Barcelona. Eine Entscheidung über den Verbleib des Argentiniers ist noch nicht gefallen.,sport,0,2021-05-01
91,blick,Der tiefe Fall des dreifachen ZSC-Meister-Goalies Lukas Flüeler - BLICK. Lukas Flüeler war ein Playoff-Spezialist und der Mann für die entscheidenden Spiele bei den ZSC Lions. Jetzt sitzt er nur noch abseits auf einem Stuhl.,sport,1,2021-04-30
92,srf,Zwei glasklare Auftakt-Siege – Schweizerinnen starten furios in die Curling-WM - Schweizer Radio und Fernsehen (SRF). Silvana Tirinzoni und Co. lassen an der WM in Calgary zum Auftakt erst Südkorea und dann Italien keine Chance.,sport,0,2021-04-30
93,blick,"DFB-Pokal: Leipzig schockt Bremen in der 120. Minute und steht im Final - BLICK. Was für ein Pokal-Krimi in Bremen. Es läuft die Nachspielzeit der Verlängerung, als Forsberg mitten ins Herz der Werder-Fans trifft. Leipzig fährt nach Berlin.",sport,0,2021-04-30
94,blick,Lara Dickenmann wechselt zu den GC-Frauen als General Manager. Die GC-Frauen rüsten mächtig auf! Mit der zweifachen Champions-League-Gewinnerin Lara Dickenmann (35) sitzt neu die erfolgreichste Schweizer Fussballerin am Schaltpult!,sport,1,2021-05-01
95,blick,"Hamilton jagt 100. Pole - Drittes Training in Portimao 2021. Das letzte 60-Minuten-Training an der Algarve: Die rutschige Piste und der starke Wind sind die grossen Probleme. Alle stöhnen seit Freitag über die fehlende Balance und Vibrationen. Schnellster: Bulle Verstappen vor Hamilton, der seine 100. Pole-Position jagt.",sport,0,2021-05-01
96,blick,Fussball: Ex-Profi Kevin Pannewitz arbeitet jetzt als Strassenreiniger. Kevin Pannewitz galt einst als Top-Talent – jetzt arbeitet der 29-Jährige in Berlin im öffentlichen Dienst.,sport,1,2021-05-01
97,real total,"Erling Haaland: Berater Raiola rät Real Madrid dringend zu Transfer. Zieht es Erling Haaland zu Real Madrid? Berater Mino Raiola heizt einen Wechsel von Borussia Dortmund in die spanische Hauptstadt öffentlich an. Die Königlichen seien in der Lage, sich den Stürmer-Star zu leisten, ist Raiola überzeugt. Er rät ihnen mit Blick auf die Zukunft dringend zu einer Verpflichtung. Dass Paul Pogba doch noch in Madrid landet, schließt der Agent nicht kategorisch aus.",sport,1,2021-05-01
98,tages-anzeiger,"Statistik prägt die Pandemie – Wie uns Daten den Zustand der Welt erklären - Tages-Anzeiger. In der Pandemie haben Zahlen und Statistiken enorm an Bedeutung gewonnen. Aber sagen sie wirklich immer die Wahrheit oder nur das, was manche dafür halten?",science,1,2021-05-01
99,der spiegel,"Intensivpflege in der dritten Coronawelle: Das Ziel: Patienten lebend von einer Schicht in die nächste bekommen - DER SPIEGEL. Betreuung nonstop, das Personal körperlich am Ende: Auf Deutschlands Intensivstationen ist der Kampf gegen Corona am härtesten. Und Jens Spahn? Delegiert an den Pflegebevollmächtigten, wo Initiativen verlässlich versanden.",science,0,2021-05-01
